epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.718,1.60104,1.17145,1.14593,0.80066,0.76727,0.83451,0.45901,1.4373,0.76501,1.09103,0.00332803,0.00332803,0.00332803
2,443.972,1.48553,0.76785,1.06215,0.79636,0.75522,0.82411,0.45281,1.46645,0.8028,1.11695,0.00659542,0.00659542,0.00659542
3,565.307,1.51781,0.7955,1.07531,0.83039,0.76162,0.83183,0.45616,1.46235,0.82048,1.09907,0.00979681,0.00979681,0.00979681
4,753.424,1.52686,0.80653,1.08393,0.82786,0.77317,0.84209,0.46434,1.48971,0.76553,1.11823,0.009703,0.009703,0.009703
5,955.425,1.48884,0.7632,1.07159,0.83011,0.74547,0.81957,0.4507,1.4759,0.76153,1.12125,0.009604,0.009604,0.009604
6,1251.26,1.46258,0.73749,1.06505,0.86712,0.80974,0.87432,0.50445,1.38776,0.68479,1.09691,0.009505,0.009505,0.009505
7,1502.4,1.44132,0.71066,1.05544,0.87787,0.81404,0.88161,0.50664,1.3979,0.68505,1.09359,0.009406,0.009406,0.009406
8,1890.33,1.42684,0.69498,1.05209,0.89042,0.83347,0.89808,0.52667,1.3836,0.6508,1.09026,0.009307,0.009307,0.009307
9,2924.86,1.41432,0.68568,1.0453,0.89035,0.85466,0.91604,0.54142,1.37074,0.62836,1.08308,0.009208,0.009208,0.009208
10,3013.23,1.39357,0.66565,1.0359,0.89888,0.86412,0.91911,0.54232,1.34933,0.61797,1.07114,0.009109,0.009109,0.009109
11,3105.35,1.38819,0.65877,1.03592,0.90667,0.85419,0.92146,0.53896,1.37522,0.62195,1.08132,0.00901,0.00901,0.00901
12,3201.84,1.37663,0.65003,1.03274,0.91153,0.86007,0.92078,0.54939,1.33958,0.60359,1.06997,0.008911,0.008911,0.008911
13,3368.41,1.36993,0.64089,1.03108,0.90889,0.86043,0.91907,0.55184,1.32271,0.6037,1.06299,0.008812,0.008812,0.008812
14,3465.02,1.35998,0.6359,1.02742,0.92153,0.87797,0.93434,0.56462,1.32573,0.5859,1.06062,0.008713,0.008713,0.008713
15,3576.49,1.35408,0.63052,1.02412,0.91782,0.87498,0.93246,0.56645,1.32553,0.58682,1.06421,0.008614,0.008614,0.008614
16,3690.4,1.35367,0.6292,1.0256,0.91752,0.88316,0.93799,0.56941,1.32239,0.57225,1.06245,0.008515,0.008515,0.008515
17,3778.55,1.33712,0.61593,1.01694,0.92332,0.88948,0.93884,0.57137,1.31136,0.56712,1.05981,0.008416,0.008416,0.008416
18,3864.36,1.33683,0.61382,1.01679,0.92022,0.89251,0.94094,0.58064,1.29916,0.55633,1.05237,0.008317,0.008317,0.008317
19,3948.62,1.33283,0.61451,1.0165,0.91892,0.89202,0.93896,0.57435,1.30867,0.56406,1.06249,0.008218,0.008218,0.008218
20,4032.5,1.32654,0.60463,1.01521,0.92096,0.89294,0.94223,0.5828,1.29663,0.55564,1.05498,0.008119,0.008119,0.008119
21,4118.44,1.32201,0.60087,1.01281,0.93243,0.89227,0.9441,0.58376,1.29522,0.54472,1.05276,0.00802,0.00802,0.00802
22,4229.88,1.31259,0.59614,1.00846,0.92775,0.89854,0.94522,0.5894,1.28132,0.54296,1.04623,0.007921,0.007921,0.007921
23,4357.68,1.31461,0.5961,1.00917,0.93405,0.89856,0.94974,0.58935,1.29026,0.54221,1.04793,0.007822,0.007822,0.007822
24,4487.73,1.30962,0.59187,1.01006,0.93665,0.90198,0.95003,0.59172,1.28462,0.53581,1.05019,0.007723,0.007723,0.007723
