epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.97,1.58026,1.07575,1.12852,0.79739,0.67484,0.77635,0.41063,1.53996,0.88144,1.17153,0.000332803,0.000332803,0.000332803
2,1323.62,1.50307,0.79226,1.08669,0.81996,0.75885,0.83496,0.46433,1.45005,0.77436,1.13258,0.000652947,0.000652947,0.000652947
3,3136.98,1.48891,0.76551,1.08319,0.84416,0.75964,0.84275,0.46084,1.47752,0.80392,1.14634,0.000959891,0.000959891,0.000959891
4,4351.18,1.46582,0.74114,1.0735,0.85501,0.79779,0.86477,0.48977,1.42351,0.72346,1.11302,0.0009406,0.0009406,0.0009406
5,4728.43,1.43385,0.70863,1.05985,0.8775,0.83345,0.89065,0.5185,1.39179,0.6471,1.10682,0.0009208,0.0009208,0.0009208
6,5458.69,1.41591,0.68749,1.05506,0.88722,0.83677,0.89289,0.51948,1.36863,0.65404,1.09791,0.000901,0.000901,0.000901
7,6289.75,1.39846,0.67108,1.04765,0.89895,0.83052,0.89691,0.53131,1.35964,0.64276,1.08811,0.0008812,0.0008812,0.0008812
8,6654.05,1.39074,0.65852,1.04496,0.90638,0.84577,0.9119,0.5446,1.35268,0.62584,1.08721,0.0008614,0.0008614,0.0008614
9,7279.07,1.37717,0.64874,1.039,0.90843,0.86515,0.92459,0.55224,1.33899,0.6001,1.07662,0.0008416,0.0008416,0.0008416
10,7620.03,1.36142,0.63361,1.03103,0.8854,0.865,0.91994,0.54962,1.34888,0.60874,1.07826,0.0008218,0.0008218,0.0008218
11,7991.7,1.35482,0.62724,1.02993,0.91396,0.87292,0.92827,0.55726,1.34601,0.594,1.07636,0.000802,0.000802,0.000802
12,8383.8,1.34723,0.6217,1.02609,0.91197,0.87149,0.93044,0.5603,1.31948,0.57856,1.06842,0.0007822,0.0007822,0.0007822
13,8927.56,1.33858,0.61202,1.02502,0.91175,0.87794,0.93169,0.56516,1.30722,0.57671,1.05982,0.0007624,0.0007624,0.0007624
14,9236.76,1.32748,0.6056,1.02178,0.92059,0.8882,0.93931,0.5728,1.30355,0.55801,1.06376,0.0007426,0.0007426,0.0007426
15,9597.07,1.32686,0.60244,1.02141,0.91607,0.88737,0.93536,0.57096,1.30868,0.56575,1.06808,0.0007228,0.0007228,0.0007228
16,9903.71,1.32187,0.60023,1.02034,0.92545,0.89364,0.94479,0.5827,1.30156,0.55332,1.06206,0.000703,0.000703,0.000703
17,10450.3,1.30725,0.58883,1.01101,0.93002,0.8934,0.94342,0.58169,1.30739,0.54824,1.06255,0.0006832,0.0006832,0.0006832
18,11281.2,1.30669,0.58678,1.01023,0.9286,0.89993,0.94775,0.58763,1.29562,0.54292,1.05799,0.0006634,0.0006634,0.0006634
19,12041,1.30435,0.58621,1.01105,0.93024,0.89323,0.94835,0.58968,1.28972,0.5385,1.05442,0.0006436,0.0006436,0.0006436
20,12985.7,1.29564,0.57749,1.00808,0.92368,0.89625,0.94563,0.59086,1.28788,0.53717,1.0582,0.0006238,0.0006238,0.0006238
21,13240,1.29315,0.57637,1.0058,0.93167,0.906,0.95091,0.59653,1.27693,0.52598,1.05049,0.000604,0.000604,0.000604
22,13585.4,1.28321,0.56998,1.00208,0.93219,0.90436,0.95306,0.59902,1.27134,0.52375,1.04934,0.0005842,0.0005842,0.0005842
23,14306.2,1.28343,0.56881,1.00382,0.9394,0.90434,0.95345,0.59801,1.27651,0.52327,1.0536,0.0005644,0.0005644,0.0005644
24,14801.6,1.27988,0.56541,1.00333,0.93827,0.90396,0.95348,0.60014,1.275,0.52223,1.05059,0.0005446,0.0005446,0.0005446
25,15683.9,1.2769,0.56263,1.00073,0.93934,0.90504,0.95429,0.6002,1.27143,0.51791,1.04802,0.0005248,0.0005248,0.0005248
26,16215.3,1.26819,0.55921,0.99909,0.93703,0.91177,0.95871,0.60264,1.2708,0.51846,1.05038,0.000505,0.000505,0.000505
27,16595.6,1.26451,0.55422,0.99731,0.9426,0.90953,0.95573,0.60593,1.25716,0.51033,1.04381,0.0004852,0.0004852,0.0004852
28,17280.8,1.26382,0.55252,0.99573,0.93905,0.91014,0.95597,0.6072,1.2617,0.51075,1.04552,0.0004654,0.0004654,0.0004654
