epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.394,1.59076,1.1479,1.13742,0.75793,0.67378,0.7331,0.39342,1.54026,0.89063,1.1673,0.000332275,0.000332275,0.000332275
2,553.802,1.48875,0.77063,1.07904,0.81659,0.78165,0.84125,0.46827,1.45515,0.76907,1.11741,0.000652429,0.000652429,0.000652429
3,689.525,1.46967,0.74418,1.07302,0.82005,0.77659,0.83229,0.44374,1.51245,0.77307,1.15591,0.000959384,0.000959384,0.000959384
4,911.391,1.46366,0.73326,1.07142,0.86577,0.80901,0.87425,0.49415,1.42709,0.7157,1.11394,0.0009406,0.0009406,0.0009406
5,1831.77,1.44044,0.70341,1.06136,0.88955,0.7828,0.87026,0.49772,1.38673,0.68187,1.10396,0.0009208,0.0009208,0.0009208
6,2041.16,1.41589,0.68532,1.05108,0.90001,0.83131,0.89806,0.52664,1.37568,0.65056,1.09474,0.000901,0.000901,0.000901
7,2134.52,1.39485,0.66663,1.04614,0.87265,0.8049,0.87483,0.51558,1.38771,0.66088,1.09596,0.0008812,0.0008812,0.0008812
8,2358.15,1.38172,0.65182,1.03879,0.89998,0.84478,0.90944,0.53245,1.36395,0.62005,1.07895,0.0008614,0.0008614,0.0008614
9,3235.98,1.37494,0.63888,1.03445,0.90542,0.86397,0.91566,0.5491,1.32827,0.60233,1.06647,0.0008416,0.0008416,0.0008416
10,3424.13,1.35234,0.62954,1.02675,0.90216,0.87658,0.92949,0.55672,1.33305,0.59745,1.07308,0.0008218,0.0008218,0.0008218
11,4102.68,1.34839,0.62161,1.02539,0.90533,0.86965,0.9245,0.55129,1.33228,0.604,1.06502,0.000802,0.000802,0.000802
12,4302.99,1.34092,0.61771,1.0233,0.90679,0.87381,0.93156,0.56043,1.33862,0.5957,1.07193,0.0007822,0.0007822,0.0007822
13,4723.14,1.33066,0.60943,1.02015,0.91647,0.8773,0.93445,0.5644,1.33029,0.57205,1.06943,0.0007624,0.0007624,0.0007624
14,5307.41,1.3234,0.6031,1.0183,0.92972,0.88752,0.94133,0.57707,1.31133,0.55567,1.06072,0.0007426,0.0007426,0.0007426
15,5466.9,1.3099,0.59402,1.01494,0.92178,0.88467,0.93828,0.57103,1.31895,0.57025,1.06699,0.0007228,0.0007228,0.0007228
16,5548.17,1.3179,0.59644,1.0147,0.92352,0.88941,0.93792,0.57743,1.2945,0.55792,1.05908,0.000703,0.000703,0.000703
17,5636.72,1.30996,0.58627,1.01182,0.92394,0.89602,0.94376,0.58233,1.29954,0.5464,1.06092,0.0006832,0.0006832,0.0006832
18,5728.45,1.29852,0.58075,1.00587,0.9304,0.89888,0.94775,0.58475,1.30141,0.54934,1.05909,0.0006634,0.0006634,0.0006634
19,5842.16,1.29562,0.57911,1.00531,0.92581,0.89489,0.9481,0.59105,1.29602,0.54253,1.0581,0.0006436,0.0006436,0.0006436
20,5940.8,1.28454,0.57153,1.0026,0.93113,0.90042,0.94524,0.59134,1.28294,0.5391,1.05048,0.0006238,0.0006238,0.0006238
21,6137.96,1.28339,0.5704,1.00226,0.93401,0.90112,0.95243,0.59171,1.28241,0.53151,1.04871,0.000604,0.000604,0.000604
22,6298.4,1.28541,0.56728,1.00163,0.93676,0.91161,0.95571,0.60264,1.27481,0.52473,1.04871,0.0005842,0.0005842,0.0005842
23,6503.72,1.27717,0.56384,0.99924,0.93489,0.90234,0.95114,0.60022,1.26905,0.51777,1.04616,0.0005644,0.0005644,0.0005644
24,6711.92,1.26555,0.56001,0.99827,0.93627,0.90561,0.95387,0.59934,1.28024,0.52156,1.05172,0.0005446,0.0005446,0.0005446
25,6838.82,1.26854,0.55415,0.99522,0.93886,0.91711,0.95829,0.6077,1.2686,0.51591,1.04522,0.0005248,0.0005248,0.0005248
26,6978.1,1.26359,0.55384,0.99611,0.9356,0.90962,0.95409,0.60576,1.264,0.51665,1.04436,0.000505,0.000505,0.000505
27,7102.96,1.25677,0.54844,0.99428,0.93944,0.91561,0.95951,0.61261,1.25529,0.50915,1.03788,0.0004852,0.0004852,0.0004852
28,7219.13,1.25323,0.54427,0.99151,0.93821,0.91502,0.95799,0.61056,1.26113,0.50781,1.04429,0.0004654,0.0004654,0.0004654
29,7331.5,1.25051,0.54277,0.9914,0.93967,0.9206,0.96182,0.6141,1.25419,0.50296,1.03802,0.0004456,0.0004456,0.0004456
30,7594.89,1.2424,0.53788,0.98877,0.94531,0.9151,0.96067,0.61361,1.25425,0.49983,1.04145,0.0004258,0.0004258,0.0004258
31,7785.77,1.24761,0.53947,0.98932,0.94469,0.91969,0.96101,0.61666,1.2523,0.49957,1.03775,0.000406,0.000406,0.000406
32,7888.14,1.23728,0.53373,0.98587,0.94484,0.91944,0.96236,0.61563,1.25334,0.49782,1.03818,0.0003862,0.0003862,0.0003862
33,8073.26,1.23312,0.53209,0.98655,0.94357,0.9162,0.96079,0.61541,1.2546,0.49642,1.04055,0.0003664,0.0003664,0.0003664
34,8332.98,1.23304,0.52826,0.98481,0.94406,0.92109,0.9637,0.62002,1.24024,0.49109,1.03459,0.0003466,0.0003466,0.0003466
35,8536.29,1.22532,0.52653,0.98309,0.94698,0.91757,0.96269,0.61896,1.24552,0.49071,1.03832,0.0003268,0.0003268,0.0003268
36,8750.97,1.22063,0.523,0.98303,0.95053,0.92151,0.96416,0.62318,1.23724,0.48567,1.03286,0.000307,0.000307,0.000307
37,8944.87,1.21632,0.52143,0.98097,0.9473,0.92202,0.96469,0.62291,1.23936,0.48378,1.03155,0.0002872,0.0002872,0.0002872
38,9247.89,1.21786,0.51918,0.98115,0.94923,0.9248,0.96636,0.62546,1.23514,0.48448,1.03115,0.0002674,0.0002674,0.0002674
39,9419.11,1.20401,0.51346,0.97623,0.9447,0.92756,0.96441,0.62579,1.2354,0.48135,1.03207,0.0002476,0.0002476,0.0002476
40,9581.75,1.20408,0.51274,0.97652,0.94519,0.92888,0.96621,0.62583,1.23702,0.48084,1.03266,0.0002278,0.0002278,0.0002278
41,9691.99,1.18146,0.48992,0.98794,0.95006,0.92336,0.96505,0.62596,1.23242,0.47907,1.02916,0.000208,0.000208,0.000208
42,9776.88,1.17143,0.48431,0.98403,0.94513,0.93131,0.96669,0.62977,1.22975,0.47662,1.02824,0.0001882,0.0001882,0.0001882
43,9892.65,1.1685,0.48034,0.98319,0.9447,0.93066,0.96712,0.63098,1.22823,0.47455,1.02997,0.0001684,0.0001684,0.0001684
44,10018.9,1.16169,0.47849,0.97872,0.94541,0.92815,0.96604,0.62917,1.22654,0.47479,1.02707,0.0001486,0.0001486,0.0001486
45,10200.2,1.15952,0.47561,0.98053,0.94496,0.9331,0.96719,0.63339,1.22505,0.47156,1.02817,0.0001288,0.0001288,0.0001288
46,10351.2,1.15169,0.47197,0.97849,0.94839,0.92758,0.96606,0.63271,1.22555,0.47071,1.02804,0.000109,0.000109,0.000109
47,10499.7,1.14849,0.46988,0.97916,0.94786,0.93172,0.96717,0.63349,1.22323,0.46942,1.02777,8.92e-05,8.92e-05,8.92e-05
48,10604,1.14446,0.46744,0.97641,0.94924,0.93047,0.96743,0.63406,1.22202,0.46918,1.02624,6.94e-05,6.94e-05,6.94e-05
49,10778.8,1.13761,0.46364,0.97197,0.95094,0.92933,0.96787,0.63435,1.22181,0.46814,1.02631,4.96e-05,4.96e-05,4.96e-05
50,10990.9,1.13392,0.46197,0.97129,0.95033,0.93213,0.96699,0.63467,1.22099,0.46743,1.02591,2.98e-05,2.98e-05,2.98e-05
