epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,14626.3,1.26897,0.54447,1.01288,0.93718,0.92512,0.9609,0.61899,1.24773,0.47534,1.06257,0.006535,0.006535,0.006535
44,14967.5,1.26155,0.54027,1.00788,0.94209,0.92277,0.96304,0.62223,1.24339,0.47233,1.06161,0.0064525,0.0064525,0.0064525
45,15307.2,1.2675,0.54144,1.01083,0.94945,0.9214,0.96328,0.62312,1.2403,0.47,1.05981,0.00637,0.00637,0.00637
46,15647.6,1.25743,0.53789,1.008,0.94562,0.9273,0.96405,0.62307,1.24128,0.46954,1.05881,0.0062875,0.0062875,0.0062875
47,15986.1,1.26088,0.53905,1.00848,0.94251,0.92794,0.96446,0.62632,1.23608,0.4671,1.05713,0.006205,0.006205,0.006205
48,16325.6,1.26198,0.53858,1.00732,0.95268,0.9232,0.9646,0.62826,1.23256,0.46435,1.05372,0.0061225,0.0061225,0.0061225
49,16666,1.25386,0.53426,1.00459,0.95082,0.92871,0.96526,0.62765,1.2288,0.46221,1.05371,0.00604,0.00604,0.00604
50,17005.8,1.24569,0.53199,1.00451,0.94982,0.92722,0.96477,0.62856,1.23234,0.46259,1.05592,0.0059575,0.0059575,0.0059575
51,17346.1,1.25301,0.53099,1.00726,0.94984,0.92959,0.96658,0.63047,1.23097,0.46016,1.05657,0.005875,0.005875,0.005875
52,17686.2,1.24846,0.5292,1.00425,0.95573,0.92726,0.96693,0.63045,1.2285,0.45902,1.05583,0.0057925,0.0057925,0.0057925
53,18026.5,1.247,0.52826,1.00386,0.95208,0.92543,0.96555,0.63002,1.23131,0.45832,1.0575,0.00571,0.00571,0.00571
54,18366.3,1.2448,0.52647,1.00264,0.95244,0.92872,0.96619,0.63168,1.22917,0.45752,1.05711,0.0056275,0.0056275,0.0056275
55,18707,1.24897,0.52756,1.00258,0.9525,0.92789,0.96657,0.63189,1.22785,0.45644,1.0554,0.005545,0.005545,0.005545
56,19047.5,1.23974,0.52354,1.00204,0.9518,0.93093,0.96643,0.63018,1.22688,0.45559,1.05538,0.0054625,0.0054625,0.0054625
57,19387.5,1.24058,0.52313,1.00248,0.9512,0.93176,0.96634,0.63213,1.22534,0.45368,1.05421,0.00538,0.00538,0.00538
58,19727.7,1.23641,0.52087,0.99748,0.95313,0.93161,0.96726,0.63207,1.22429,0.45275,1.05291,0.0052975,0.0052975,0.0052975
59,20067.2,1.2363,0.52228,0.99901,0.95304,0.92972,0.96723,0.63269,1.22354,0.45233,1.05156,0.005215,0.005215,0.005215
60,20406.6,1.2268,0.51566,0.99411,0.94968,0.93293,0.9674,0.63373,1.22302,0.45143,1.05162,0.0051325,0.0051325,0.0051325
61,20746,1.23249,0.51929,1.00009,0.94721,0.93577,0.96802,0.6347,1.22115,0.45037,1.05181,0.00505,0.00505,0.00505
62,21086.5,1.23278,0.51722,1.00002,0.9516,0.93334,0.9687,0.63582,1.22178,0.44954,1.0523,0.0049675,0.0049675,0.0049675
63,21427.3,1.22951,0.51566,0.99727,0.953,0.93105,0.96944,0.63651,1.22004,0.44874,1.05174,0.004885,0.004885,0.004885
64,21767.4,1.2245,0.51351,0.99571,0.9518,0.93511,0.96965,0.63669,1.21927,0.44798,1.05096,0.0048025,0.0048025,0.0048025
65,22106.9,1.22555,0.51311,0.99774,0.95462,0.93553,0.96993,0.63724,1.21763,0.4472,1.05084,0.00472,0.00472,0.00472
66,22446.8,1.2202,0.51243,0.99574,0.95223,0.93683,0.9694,0.63852,1.2161,0.4457,1.05142,0.0046375,0.0046375,0.0046375
67,22787,1.22016,0.51113,0.99592,0.95456,0.9363,0.97035,0.63914,1.2152,0.44477,1.05086,0.004555,0.004555,0.004555
68,23128.4,1.22085,0.51056,0.99532,0.95419,0.93822,0.97088,0.64012,1.21473,0.44404,1.05125,0.0044725,0.0044725,0.0044725
69,23469.1,1.21224,0.50757,0.99231,0.95571,0.93537,0.9709,0.64025,1.21424,0.44305,1.05102,0.00439,0.00439,0.00439
70,23809.2,1.21119,0.50532,0.99258,0.9569,0.93476,0.97094,0.64049,1.21312,0.44242,1.05053,0.0043075,0.0043075,0.0043075
71,24150.3,1.21021,0.5041,0.99078,0.95522,0.93688,0.97127,0.64029,1.21212,0.44192,1.04902,0.004225,0.004225,0.004225
72,24491.5,1.21075,0.50426,0.9903,0.95394,0.93994,0.97186,0.64118,1.21118,0.44133,1.04846,0.0041425,0.0041425,0.0041425
73,24832.6,1.20652,0.50212,0.99099,0.95289,0.93874,0.97137,0.64144,1.21105,0.44078,1.04847,0.00406,0.00406,0.00406
74,25173.7,1.20705,0.50229,0.98959,0.95269,0.93775,0.97154,0.64219,1.21026,0.44035,1.04799,0.0039775,0.0039775,0.0039775
75,25514.9,1.20426,0.49985,0.98748,0.95291,0.93861,0.97142,0.64236,1.20972,0.43976,1.04763,0.003895,0.003895,0.003895
76,25855,1.20162,0.49884,0.9864,0.95405,0.93827,0.97195,0.64287,1.20942,0.43935,1.04742,0.0038125,0.0038125,0.0038125
77,26195,1.19388,0.49677,0.98893,0.95388,0.93833,0.97148,0.64327,1.20859,0.43864,1.04748,0.00373,0.00373,0.00373
78,26535.6,1.19794,0.49497,0.98543,0.95613,0.93774,0.97202,0.6432,1.20823,0.43815,1.04748,0.0036475,0.0036475,0.0036475
79,26875.9,1.19438,0.49532,0.98714,0.95647,0.93767,0.97196,0.64317,1.20809,0.43773,1.04738,0.003565,0.003565,0.003565
80,27216.1,1.19222,0.49551,0.98438,0.9569,0.93763,0.97212,0.64348,1.20735,0.43738,1.04679,0.0034825,0.0034825,0.0034825
81,27557,1.19759,0.49466,0.98618,0.95602,0.93845,0.97263,0.64377,1.20707,0.43688,1.04656,0.0034,0.0034,0.0034
82,27898.2,1.19267,0.49147,0.98427,0.95399,0.94062,0.97284,0.64361,1.2067,0.43637,1.04641,0.0033175,0.0033175,0.0033175
83,28237.8,1.18942,0.4904,0.98568,0.95458,0.94079,0.9728,0.64394,1.20636,0.43594,1.04627,0.003235,0.003235,0.003235
84,28577.4,1.183,0.48787,0.98291,0.95475,0.94055,0.97289,0.64396,1.20616,0.43572,1.04606,0.0031525,0.0031525,0.0031525
85,28917.7,1.1803,0.48647,0.9814,0.95569,0.94062,0.97311,0.64438,1.20586,0.43551,1.04588,0.00307,0.00307,0.00307
86,29257.9,1.18073,0.48661,0.97997,0.95619,0.94021,0.97312,0.64429,1.20553,0.43511,1.04564,0.0029875,0.0029875,0.0029875
87,29598.6,1.17797,0.48511,0.98084,0.95513,0.94029,0.97277,0.64418,1.20513,0.43495,1.04553,0.002905,0.002905,0.002905
88,29938.5,1.17783,0.4837,0.97733,0.95557,0.94042,0.97277,0.64394,1.20511,0.43454,1.04538,0.0028225,0.0028225,0.0028225
89,30278.7,1.16834,0.48095,0.97774,0.95608,0.94091,0.97305,0.64455,1.20482,0.43422,1.04532,0.00274,0.00274,0.00274
90,30619,1.17246,0.48174,0.97665,0.95419,0.94241,0.9732,0.64445,1.20468,0.43401,1.04534,0.0026575,0.0026575,0.0026575
91,30959.3,1.17253,0.48107,0.98109,0.95463,0.94247,0.97352,0.64504,1.20439,0.43388,1.04521,0.002575,0.002575,0.002575
92,31299.1,1.16478,0.47983,0.97817,0.95477,0.94158,0.97316,0.64489,1.20441,0.43367,1.04518,0.0024925,0.0024925,0.0024925
93,31639.2,1.1669,0.47778,0.97849,0.95524,0.94127,0.97306,0.64492,1.20434,0.43341,1.04524,0.00241,0.00241,0.00241
94,31979.7,1.16695,0.47704,0.97816,0.95582,0.94119,0.97356,0.64517,1.20414,0.43317,1.04511,0.0023275,0.0023275,0.0023275
95,32320.1,1.15725,0.47405,0.97405,0.95663,0.94176,0.97391,0.64543,1.20402,0.43291,1.04502,0.002245,0.002245,0.002245
96,32660.4,1.15941,0.47429,0.97505,0.95649,0.9419,0.97375,0.64544,1.20394,0.43261,1.04498,0.0021625,0.0021625,0.0021625
97,33001.1,1.15286,0.47092,0.97169,0.95645,0.94181,0.97409,0.64593,1.20378,0.43247,1.04492,0.00208,0.00208,0.00208
98,33341.7,1.14989,0.46999,0.97294,0.95686,0.94235,0.9743,0.64598,1.20365,0.43232,1.04478,0.0019975,0.0019975,0.0019975
99,33682.3,1.15092,0.46982,0.97433,0.95688,0.94242,0.97442,0.64627,1.20357,0.43217,1.0447,0.001915,0.001915,0.001915
100,34022.3,1.1475,0.46762,0.97182,0.95677,0.94239,0.97428,0.64617,1.20335,0.43196,1.0446,0.0018325,0.0018325,0.0018325
101,34362.4,1.14789,0.46781,0.972,0.95683,0.94227,0.97419,0.64635,1.20323,0.4317,1.04449,0.00175,0.00175,0.00175
102,34702.6,1.14185,0.46551,0.97122,0.95656,0.94189,0.97413,0.64621,1.203,0.43151,1.04446,0.0016675,0.0016675,0.0016675
103,35042.9,1.13899,0.46334,0.96836,0.95625,0.94156,0.9739,0.64626,1.20287,0.43148,1.04435,0.001585,0.001585,0.001585
104,35382.6,1.14042,0.46416,0.96929,0.95627,0.94121,0.97384,0.6462,1.20277,0.4314,1.04429,0.0015025,0.0015025,0.0015025
105,35722.6,1.13917,0.4613,0.96921,0.95636,0.94166,0.97401,0.64662,1.20269,0.43118,1.0442,0.00142,0.00142,0.00142
106,36063.4,1.13635,0.46111,0.96661,0.9564,0.94141,0.97402,0.64675,1.20249,0.43106,1.04418,0.0013375,0.0013375,0.0013375
107,36403.7,1.13123,0.45941,0.96483,0.95547,0.94146,0.97381,0.64668,1.20253,0.43093,1.04413,0.001255,0.001255,0.001255
108,36743.7,1.1257,0.45742,0.96469,0.95638,0.94154,0.97409,0.64682,1.20245,0.43088,1.04404,0.0011725,0.0011725,0.0011725
