epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.834,1.57723,1.12777,1.14282,0.82664,0.76044,0.83394,0.45198,1.48711,0.7276,1.13201,0.00332803,0.00332803,0.00332803
2,359.359,1.51813,0.77081,1.09017,0.7528,0.71142,0.77292,0.41723,1.5364,0.83266,1.17514,0.00659542,0.00659542,0.00659542
3,885.278,1.57252,0.81961,1.11265,0.73924,0.7082,0.76036,0.39822,1.57007,0.92089,1.19773,0.00979681,0.00979681,0.00979681
4,1241.75,1.56951,0.82481,1.12146,0.82355,0.76366,0.82368,0.456,1.45855,0.75369,1.15427,0.009703,0.009703,0.009703
5,1502.17,1.51908,0.7734,1.10257,0.83824,0.77181,0.8434,0.46961,1.45401,0.7094,1.16797,0.009604,0.009604,0.009604
6,1749.02,1.47972,0.73432,1.09318,0.87994,0.8212,0.88058,0.49804,1.42676,0.68198,1.15047,0.009505,0.009505,0.009505
7,1951.72,1.4553,0.70866,1.08104,0.8719,0.82763,0.89091,0.51308,1.39817,0.66688,1.12787,0.009406,0.009406,0.009406
8,2169.91,1.43993,0.69161,1.07745,0.8792,0.83498,0.89092,0.51332,1.38583,0.6375,1.131,0.009307,0.009307,0.009307
9,2470.19,1.42827,0.67991,1.07062,0.88853,0.85009,0.90475,0.53403,1.3568,0.61878,1.1146,0.009208,0.009208,0.009208
10,2753.43,1.40405,0.65924,1.06027,0.88514,0.84413,0.9034,0.52589,1.38823,0.63308,1.12362,0.009109,0.009109,0.009109
11,3062.28,1.3968,0.65326,1.05802,0.89145,0.84999,0.90983,0.52699,1.40056,0.61942,1.13035,0.00901,0.00901,0.00901
12,3317.86,1.38575,0.64373,1.05497,0.9072,0.86529,0.92015,0.55269,1.3357,0.58474,1.10051,0.008911,0.008911,0.008911
13,3550.67,1.37836,0.63233,1.05322,0.90907,0.86054,0.92116,0.5517,1.33976,0.58204,1.10895,0.008812,0.008812,0.008812
14,3817.05,1.36363,0.62568,1.04824,0.92212,0.87121,0.92703,0.55638,1.32953,0.57277,1.10284,0.008713,0.008713,0.008713
15,4002.53,1.36063,0.62189,1.04592,0.91299,0.87755,0.92697,0.55744,1.33659,0.57469,1.10429,0.008614,0.008614,0.008614
16,4354.38,1.36187,0.61871,1.04836,0.91355,0.87596,0.93081,0.56616,1.31457,0.56293,1.0932,0.008515,0.008515,0.008515
17,4632.8,1.3432,0.60488,1.0371,0.9173,0.88086,0.93047,0.56483,1.31942,0.55496,1.09981,0.008416,0.008416,0.008416
18,4926.45,1.34187,0.60508,1.03617,0.91709,0.88095,0.93156,0.57237,1.3095,0.5487,1.09328,0.008317,0.008317,0.008317
19,5150.9,1.33855,0.603,1.03682,0.92074,0.88871,0.94025,0.57589,1.319,0.54766,1.1011,0.008218,0.008218,0.008218
20,5579.38,1.33473,0.59497,1.03621,0.91709,0.89648,0.94081,0.58099,1.2973,0.53903,1.09084,0.008119,0.008119,0.008119
21,5994.7,1.32922,0.59171,1.03308,0.92059,0.89433,0.94284,0.5835,1.29797,0.53328,1.09532,0.00802,0.00802,0.00802
22,6452.98,1.31852,0.58614,1.02913,0.93433,0.90256,0.94999,0.59072,1.28135,0.52618,1.08482,0.007921,0.007921,0.007921
23,6664.15,1.3179,0.58437,1.03038,0.92706,0.89583,0.94666,0.58887,1.28264,0.52625,1.08224,0.007822,0.007822,0.007822
24,7102.29,1.31578,0.58101,1.03152,0.93685,0.90386,0.94958,0.59418,1.28196,0.51841,1.08101,0.007723,0.007723,0.007723
25,7426.54,1.31402,0.58032,1.02958,0.93201,0.90919,0.9493,0.59318,1.28255,0.51865,1.0852,0.007624,0.007624,0.007624
26,7815.42,1.3036,0.57396,1.02713,0.92963,0.90724,0.95147,0.59051,1.2817,0.51985,1.0842,0.007525,0.007525,0.007525
27,8123.96,1.3018,0.56937,1.02663,0.93138,0.90977,0.95056,0.59779,1.26768,0.50679,1.07815,0.007426,0.007426,0.007426
28,8963.42,1.30118,0.57012,1.02511,0.93635,0.90434,0.95241,0.59472,1.28002,0.511,1.08685,0.007327,0.007327,0.007327
29,9263.94,1.29327,0.56267,1.02265,0.93717,0.90424,0.95213,0.59815,1.26866,0.50378,1.08084,0.007228,0.007228,0.007228
30,9779.59,1.29381,0.56309,1.02129,0.93652,0.91151,0.95585,0.602,1.2663,0.5018,1.07861,0.007129,0.007129,0.007129
31,10253.7,1.28467,0.5606,1.02241,0.94387,0.91048,0.95758,0.60676,1.2566,0.49584,1.07209,0.00703,0.00703,0.00703
32,10619.1,1.29122,0.55937,1.01831,0.936,0.9197,0.95882,0.60583,1.26175,0.49857,1.0762,0.006931,0.006931,0.006931
33,11184.9,1.28072,0.55669,1.01562,0.94228,0.91455,0.95809,0.60941,1.25322,0.49418,1.07217,0.006832,0.006832,0.006832
34,11735.8,1.28046,0.55399,1.01655,0.93859,0.91788,0.9594,0.60836,1.26213,0.49317,1.08011,0.006733,0.006733,0.006733
35,11941.7,1.27372,0.54943,1.01464,0.94115,0.91708,0.95806,0.61272,1.25045,0.48757,1.06818,0.006634,0.006634,0.006634
36,12217,1.28027,0.55015,1.01793,0.9371,0.92702,0.96135,0.61361,1.25172,0.48575,1.07606,0.006535,0.006535,0.006535
37,12623.7,1.26785,0.54717,1.01575,0.94322,0.92251,0.96329,0.61676,1.24733,0.48363,1.07029,0.006436,0.006436,0.006436
38,12773.8,1.26842,0.54536,1.01255,0.94421,0.92137,0.96184,0.61539,1.24917,0.48124,1.07237,0.006337,0.006337,0.006337
39,13218.5,1.25995,0.54113,1.01106,0.94522,0.9183,0.96171,0.613,1.24313,0.48428,1.06613,0.006238,0.006238,0.006238
40,13435.3,1.27027,0.54288,1.01307,0.94183,0.92139,0.96003,0.61891,1.24105,0.47787,1.06933,0.006139,0.006139,0.006139
41,13577.2,1.2558,0.53719,1.0079,0.94226,0.92573,0.96201,0.6201,1.23977,0.47512,1.07111,0.00604,0.00604,0.00604
42,13976.3,1.25858,0.53843,1.00977,0.94399,0.92796,0.96344,0.61966,1.24007,0.47443,1.06928,0.005941,0.005941,0.005941
43,14208.4,1.25403,0.5338,1.00761,0.94014,0.92999,0.96278,0.62074,1.237,0.47268,1.06511,0.005842,0.005842,0.005842
44,14724.2,1.251,0.53538,1.00895,0.94577,0.92531,0.96412,0.62426,1.23377,0.4708,1.06368,0.005743,0.005743,0.005743
45,15089.4,1.25075,0.53048,1.01014,0.94672,0.92752,0.96536,0.62433,1.23426,0.46801,1.06466,0.005644,0.005644,0.005644
46,15369.2,1.24816,0.52864,1.00273,0.94505,0.92638,0.9632,0.6234,1.23176,0.46731,1.06531,0.005545,0.005545,0.005545
47,15750,1.24577,0.52899,1.00531,0.94194,0.92577,0.96242,0.62285,1.22934,0.46794,1.06331,0.005446,0.005446,0.005446
48,16320.3,1.24471,0.52798,1.00203,0.9463,0.92478,0.96408,0.6254,1.2294,0.46518,1.06079,0.005347,0.005347,0.005347
49,16764.3,1.24089,0.5247,1.00557,0.94883,0.92617,0.965,0.62877,1.22552,0.46188,1.0596,0.005248,0.005248,0.005248
50,17154.1,1.23214,0.52133,1.0007,0.94643,0.93143,0.96636,0.63024,1.22277,0.46022,1.05815,0.005149,0.005149,0.005149
