epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8977.39,1.25733,0.55145,0.98842,0.93958,0.92509,0.96032,0.61582,1.23842,0.49914,1.02674,0.006535,0.006535,0.006535
44,9186.1,1.25641,0.5514,0.98876,0.94363,0.92331,0.96156,0.62051,1.23763,0.49101,1.0256,0.0064525,0.0064525,0.0064525
45,9394.65,1.2582,0.55035,0.9905,0.94188,0.9239,0.96315,0.61796,1.23576,0.49616,1.02709,0.00637,0.00637,0.00637
46,9602.51,1.25467,0.54879,0.98979,0.94339,0.92867,0.9636,0.62138,1.2306,0.48861,1.02294,0.0062875,0.0062875,0.0062875
47,9811.22,1.24001,0.54428,0.98576,0.9462,0.92202,0.96335,0.62324,1.22742,0.49035,1.02268,0.006205,0.006205,0.006205
48,10019.5,1.24457,0.54287,0.98606,0.94729,0.92364,0.96573,0.62226,1.22844,0.48641,1.02344,0.0061225,0.0061225,0.0061225
49,10227.8,1.2423,0.54199,0.98398,0.94865,0.9234,0.965,0.62499,1.22319,0.48573,1.01782,0.00604,0.00604,0.00604
50,10436.3,1.2415,0.54066,0.98527,0.9441,0.92819,0.96545,0.62484,1.22661,0.48287,1.02041,0.0059575,0.0059575,0.0059575
51,10644.8,1.24237,0.53951,0.98595,0.94882,0.92708,0.96674,0.62417,1.22421,0.48239,1.02115,0.005875,0.005875,0.005875
52,10853.1,1.23451,0.53688,0.98171,0.94791,0.92959,0.96686,0.62657,1.22402,0.48067,1.02234,0.0057925,0.0057925,0.0057925
53,11061.3,1.23699,0.53737,0.98357,0.94822,0.93121,0.96787,0.62495,1.22622,0.48025,1.02183,0.00571,0.00571,0.00571
54,11270,1.23458,0.53622,0.98259,0.95137,0.92792,0.96842,0.63089,1.21919,0.47726,1.01742,0.0056275,0.0056275,0.0056275
55,11478.6,1.22737,0.53455,0.97969,0.94452,0.9341,0.96865,0.62728,1.22225,0.47782,1.01971,0.005545,0.005545,0.005545
56,11687.6,1.22812,0.53245,0.98015,0.94866,0.93046,0.96813,0.62632,1.22269,0.47695,1.02046,0.0054625,0.0054625,0.0054625
57,11896.3,1.22589,0.5305,0.98301,0.94703,0.93083,0.96793,0.62718,1.22222,0.47573,1.02188,0.00538,0.00538,0.00538
58,12105,1.22668,0.53117,0.97827,0.94672,0.93555,0.96852,0.62694,1.21948,0.4754,1.01889,0.0052975,0.0052975,0.0052975
59,12313.5,1.22363,0.52813,0.97897,0.94863,0.93074,0.96711,0.62948,1.21824,0.47308,1.01757,0.005215,0.005215,0.005215
60,12522.6,1.22396,0.52833,0.97831,0.95271,0.92947,0.96901,0.63081,1.21545,0.4716,1.01781,0.0051325,0.0051325,0.0051325
61,12731.3,1.22219,0.5281,0.98102,0.95121,0.93035,0.96959,0.63263,1.21315,0.46937,1.01727,0.00505,0.00505,0.00505
62,12940.1,1.21384,0.52364,0.97593,0.95021,0.93239,0.96945,0.63255,1.21288,0.46883,1.01662,0.0049675,0.0049675,0.0049675
63,13148.7,1.21626,0.52213,0.97688,0.95031,0.93087,0.9696,0.63178,1.21097,0.46797,1.0164,0.004885,0.004885,0.004885
64,13357.2,1.21534,0.52318,0.97669,0.95139,0.93416,0.96952,0.63277,1.21218,0.46861,1.01556,0.0048025,0.0048025,0.0048025
65,13565.6,1.21468,0.52275,0.97879,0.9514,0.9365,0.96962,0.63428,1.20661,0.46461,1.01371,0.00472,0.00472,0.00472
66,13774.5,1.20898,0.52062,0.97509,0.95105,0.9341,0.96936,0.63304,1.20976,0.46591,1.0168,0.0046375,0.0046375,0.0046375
