epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.027,1.58137,1.13804,1.14422,0.79279,0.6965,0.76339,0.39769,1.57803,0.96999,1.21168,0.000332275,0.000332275,0.000332275
2,301.333,1.51985,0.78763,1.11209,0.80817,0.75125,0.80588,0.4447,1.46291,0.79609,1.16399,0.000652429,0.000652429,0.000652429
3,438.988,1.4992,0.75499,1.10623,0.82385,0.74546,0.82237,0.44526,1.49565,0.90219,1.18435,0.000959384,0.000959384,0.000959384
4,686.487,1.49323,0.74929,1.10432,0.85227,0.79093,0.86025,0.47672,1.45926,0.75497,1.17039,0.0009406,0.0009406,0.0009406
5,1185.07,1.46004,0.70757,1.08969,0.8524,0.79928,0.85189,0.48547,1.4086,0.69056,1.14368,0.0009208,0.0009208,0.0009208
6,1548.23,1.43772,0.6929,1.07804,0.85883,0.81632,0.88951,0.511,1.41545,0.65534,1.1416,0.000901,0.000901,0.000901
7,1810.53,1.41052,0.6671,1.07049,0.90528,0.84711,0.90749,0.52809,1.37354,0.62005,1.12722,0.0008812,0.0008812,0.0008812
8,2161.24,1.39856,0.65191,1.06268,0.87776,0.83085,0.89936,0.51387,1.42554,0.64672,1.13353,0.0008614,0.0008614,0.0008614
9,2472.88,1.38917,0.63755,1.05566,0.90328,0.85942,0.91659,0.54749,1.33978,0.59079,1.09879,0.0008416,0.0008416,0.0008416
10,2638.2,1.36476,0.62612,1.04882,0.90351,0.86714,0.9234,0.54737,1.34658,0.59145,1.11306,0.0008218,0.0008218,0.0008218
11,2797.24,1.36232,0.61665,1.04981,0.91399,0.86632,0.92658,0.5518,1.33978,0.58147,1.11586,0.000802,0.000802,0.000802
12,3019.49,1.35366,0.6114,1.04659,0.90478,0.86814,0.92589,0.55722,1.35615,0.57843,1.12172,0.0007822,0.0007822,0.0007822
13,3246.84,1.34209,0.60491,1.04235,0.90384,0.86877,0.92273,0.54919,1.35827,0.58075,1.10822,0.0007624,0.0007624,0.0007624
14,3417.86,1.33514,0.59438,1.03874,0.91505,0.88253,0.93589,0.5699,1.32877,0.55479,1.0986,0.0007426,0.0007426,0.0007426
15,3621.75,1.32099,0.58733,1.03579,0.91838,0.88385,0.93274,0.56586,1.33132,0.556,1.09998,0.0007228,0.0007228,0.0007228
16,3824.01,1.32965,0.58714,1.03599,0.92077,0.88639,0.9408,0.57812,1.31441,0.54882,1.10109,0.000703,0.000703,0.000703
17,4115.55,1.3166,0.57813,1.03328,0.92645,0.88798,0.94113,0.58055,1.30878,0.53339,1.10013,0.0006832,0.0006832,0.0006832
18,4698.01,1.3051,0.57201,1.02535,0.92639,0.89372,0.94334,0.58354,1.30607,0.54185,1.09123,0.0006634,0.0006634,0.0006634
19,5168.14,1.30747,0.56993,1.02727,0.9262,0.89198,0.9442,0.58668,1.28791,0.52924,1.08193,0.0006436,0.0006436,0.0006436
20,5439.01,1.29418,0.56289,1.0226,0.92802,0.88916,0.94334,0.5858,1.29565,0.52743,1.08684,0.0006238,0.0006238,0.0006238
21,5861.58,1.29096,0.56036,1.02173,0.93711,0.90631,0.94913,0.59739,1.27845,0.51274,1.07283,0.000604,0.000604,0.000604
22,6094.77,1.29204,0.5581,1.02217,0.93842,0.90242,0.9517,0.59479,1.29474,0.5164,1.08719,0.0005842,0.0005842,0.0005842
23,7060.27,1.28514,0.55154,1.01772,0.93598,0.90775,0.95036,0.59633,1.28036,0.50967,1.07693,0.0005644,0.0005644,0.0005644
24,7968.41,1.27309,0.54898,1.0172,0.93569,0.90659,0.9505,0.59968,1.28472,0.50896,1.08085,0.0005446,0.0005446,0.0005446
25,8693.59,1.27508,0.54442,1.01339,0.93734,0.92029,0.958,0.60592,1.26507,0.49567,1.06965,0.0005248,0.0005248,0.0005248
26,9061.64,1.27186,0.54162,1.01648,0.93661,0.90993,0.95494,0.60256,1.27343,0.50085,1.07581,0.000505,0.000505,0.000505
27,9743.12,1.26301,0.53686,1.01323,0.94427,0.9138,0.95937,0.60803,1.26468,0.49724,1.07664,0.0004852,0.0004852,0.0004852
28,10631.6,1.2589,0.53262,1.0098,0.94247,0.91688,0.95994,0.60857,1.26506,0.49303,1.0729,0.0004654,0.0004654,0.0004654
29,11283.5,1.25663,0.53116,1.00897,0.94137,0.92126,0.9614,0.61334,1.25811,0.48851,1.06803,0.0004456,0.0004456,0.0004456
30,11783.7,1.24712,0.52549,1.00646,0.93959,0.91548,0.95873,0.6117,1.2622,0.48639,1.07527,0.0004258,0.0004258,0.0004258
31,13003.6,1.25434,0.5271,1.00831,0.94344,0.91408,0.95847,0.61197,1.2532,0.48741,1.07267,0.000406,0.000406,0.000406
32,13940.8,1.24346,0.52255,1.0043,0.94541,0.91759,0.96141,0.61511,1.25428,0.48102,1.06783,0.0003862,0.0003862,0.0003862
33,14180.7,1.23976,0.52078,1.00509,0.94795,0.91625,0.96138,0.61488,1.25138,0.48008,1.07065,0.0003664,0.0003664,0.0003664
34,14345.8,1.23938,0.51592,1.00359,0.94322,0.9251,0.96178,0.61721,1.24836,0.47628,1.06596,0.0003466,0.0003466,0.0003466
35,14742.6,1.23141,0.51317,0.99991,0.94695,0.92448,0.96452,0.61797,1.24641,0.47398,1.06399,0.0003268,0.0003268,0.0003268
36,15130,1.22672,0.5105,1.00083,0.9455,0.92472,0.9631,0.62029,1.24319,0.47272,1.06636,0.000307,0.000307,0.000307
37,15300.7,1.22254,0.50899,0.99979,0.94757,0.92323,0.96494,0.62351,1.23664,0.46921,1.06328,0.0002872,0.0002872,0.0002872
38,15575.2,1.22461,0.50655,0.99856,0.94865,0.92641,0.96538,0.62503,1.2364,0.46674,1.05736,0.0002674,0.0002674,0.0002674
39,15783.9,1.20887,0.50053,0.99257,0.94599,0.92711,0.96478,0.62348,1.23651,0.46654,1.06093,0.0002476,0.0002476,0.0002476
40,16029.9,1.21011,0.49998,0.99356,0.9474,0.92654,0.96619,0.62582,1.23479,0.46385,1.06148,0.0002278,0.0002278,0.0002278
41,16277.2,1.18515,0.47471,1.00754,0.94915,0.92682,0.96575,0.62697,1.23009,0.46111,1.05982,0.000208,0.000208,0.000208
42,16630.9,1.17754,0.47026,1.00259,0.94975,0.92867,0.96608,0.6282,1.22754,0.45904,1.05646,0.0001882,0.0001882,0.0001882
43,17110.6,1.17244,0.46543,1.00064,0.95098,0.9292,0.96739,0.63027,1.22426,0.45738,1.05577,0.0001684,0.0001684,0.0001684
44,17561.1,1.16641,0.46393,0.99624,0.95161,0.92503,0.96606,0.63044,1.22366,0.45599,1.05382,0.0001486,0.0001486,0.0001486
45,17891.5,1.16321,0.46073,0.99658,0.95273,0.93182,0.96694,0.63155,1.22122,0.4547,1.05261,0.0001288,0.0001288,0.0001288
46,18342.2,1.15502,0.45763,0.9961,0.95475,0.92839,0.96688,0.63306,1.22074,0.45253,1.05579,0.000109,0.000109,0.000109
47,18706.3,1.15036,0.45467,0.99576,0.95251,0.93174,0.96882,0.63401,1.21823,0.45127,1.05524,8.92e-05,8.92e-05,8.92e-05
48,18980.7,1.14572,0.4521,0.9937,0.95449,0.92948,0.96836,0.63438,1.21941,0.45158,1.0564,6.94e-05,6.94e-05,6.94e-05
49,19446.5,1.13954,0.44873,0.98946,0.95396,0.93082,0.96831,0.63448,1.21837,0.44989,1.05512,4.96e-05,4.96e-05,4.96e-05
50,19791.2,1.13426,0.4462,0.98732,0.95207,0.93171,0.96924,0.63538,1.21821,0.44929,1.05455,2.98e-05,2.98e-05,2.98e-05
